country,year,sex,value,quality_obs_status_label,quality_note_indicator_label,quality_note_source_label,source_label,indicator_label
United Arab Emirates,2023,Male,48.41,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
United Arab Emirates,2023,Female,49.0,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
United Arab Emirates,2022,Male,49.33,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
United Arab Emirates,2022,Female,51.62,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
United Arab Emirates,2019,Male,51.33,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
United Arab Emirates,2019,Female,52.65,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
United Arab Emirates,2018,Male,49.62,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
United Arab Emirates,2018,Female,53.54,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
United Arab Emirates,2017,Male,52.32,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
United Arab Emirates,2017,Female,65.64,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Argentina,2018,Male,42.61,,,Repository: ILO-STATISTICS - Micro data processing,HS - Households Living Conditions Survey,Mean weekly hours usually worked per employee by sex
Argentina,2018,Female,31.52,,,Repository: ILO-STATISTICS - Micro data processing,HS - Households Living Conditions Survey,Mean weekly hours usually worked per employee by sex
Armenia,2023,Male,45.79,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old,HIES - Households Living Conditions Survey,Mean weekly hours usually worked per employee by sex
Armenia,2023,Female,41.48,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old,HIES - Households Living Conditions Survey,Mean weekly hours usually worked per employee by sex
Armenia,2022,Male,45.68,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old,HIES - Households Living Conditions Survey,Mean weekly hours usually worked per employee by sex
Armenia,2022,Female,40.44,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old,HIES - Households Living Conditions Survey,Mean weekly hours usually worked per employee by sex
Armenia,2021,Male,45.98,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old,HIES - Households Living Conditions Survey,Mean weekly hours usually worked per employee by sex
Armenia,2021,Female,40.89,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old,HIES - Households Living Conditions Survey,Mean weekly hours usually worked per employee by sex
Armenia,2020,Male,45.61,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old,HIES - Households Living Conditions Survey,Mean weekly hours usually worked per employee by sex
Armenia,2020,Female,40.67,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old,HIES - Households Living Conditions Survey,Mean weekly hours usually worked per employee by sex
Armenia,2019,Male,47.41,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old,HIES - Households Living Conditions Survey,Mean weekly hours usually worked per employee by sex
Armenia,2019,Female,42.53,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old,HIES - Households Living Conditions Survey,Mean weekly hours usually worked per employee by sex
Armenia,2017,Male,45.42,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old,LFS - Household Labour Force Survey,Mean weekly hours usually worked per employee by sex
Armenia,2017,Female,39.94,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old,LFS - Household Labour Force Survey,Mean weekly hours usually worked per employee by sex
Armenia,2016,Male,45.34,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old,LFS - Household Labour Force Survey,Mean weekly hours usually worked per employee by sex
Armenia,2016,Female,39.29,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old,LFS - Household Labour Force Survey,Mean weekly hours usually worked per employee by sex
Armenia,2015,Male,46.84,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old,LFS - Household Labour Force Survey,Mean weekly hours usually worked per employee by sex
Armenia,2015,Female,39.99,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old,LFS - Household Labour Force Survey,Mean weekly hours usually worked per employee by sex
Antigua and Barbuda,2018,Male,40.56,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Antigua and Barbuda,2018,Female,40.14,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Australia,2021,Male,38.84,,,Repository: ILO-STATISTICS - Micro data processing,"HIES - Household, Income and Labour Dynamics Survey",Mean weekly hours usually worked per employee by sex
Australia,2021,Female,32.2,,,Repository: ILO-STATISTICS - Micro data processing,"HIES - Household, Income and Labour Dynamics Survey",Mean weekly hours usually worked per employee by sex
Australia,2020,Male,38.59,,,Repository: ILO-STATISTICS - Micro data processing,"HIES - Household, Income and Labour Dynamics Survey",Mean weekly hours usually worked per employee by sex
Australia,2020,Female,31.61,,,Repository: ILO-STATISTICS - Micro data processing,"HIES - Household, Income and Labour Dynamics Survey",Mean weekly hours usually worked per employee by sex
Australia,2019,Male,39.12,,,Repository: ILO-STATISTICS - Micro data processing,"HIES - Household, Income and Labour Dynamics Survey",Mean weekly hours usually worked per employee by sex
Australia,2019,Female,32.03,,,Repository: ILO-STATISTICS - Micro data processing,"HIES - Household, Income and Labour Dynamics Survey",Mean weekly hours usually worked per employee by sex
Australia,2018,Male,39.52,,,Repository: ILO-STATISTICS - Micro data processing,"HIES - Household, Income and Labour Dynamics Survey",Mean weekly hours usually worked per employee by sex
Australia,2018,Female,31.78,,,Repository: ILO-STATISTICS - Micro data processing,"HIES - Household, Income and Labour Dynamics Survey",Mean weekly hours usually worked per employee by sex
Australia,2017,Male,39.54,,,Repository: ILO-STATISTICS - Micro data processing,"HIES - Household, Income and Labour Dynamics Survey",Mean weekly hours usually worked per employee by sex
Australia,2017,Female,31.72,,,Repository: ILO-STATISTICS - Micro data processing,"HIES - Household, Income and Labour Dynamics Survey",Mean weekly hours usually worked per employee by sex
Australia,2016,Male,38.92,,,Repository: ILO-STATISTICS - Micro data processing,"HIES - Household, Income and Labour Dynamics Survey",Mean weekly hours usually worked per employee by sex
Australia,2016,Female,31.71,,,Repository: ILO-STATISTICS - Micro data processing,"HIES - Household, Income and Labour Dynamics Survey",Mean weekly hours usually worked per employee by sex
Australia,2015,Male,39.93,,,,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Australia,2015,Female,31.28,,,,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Austria,2025,Male,37.95,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Austria,2025,Female,31.07,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Austria,2024,Male,37.99,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Austria,2024,Female,30.89,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Austria,2023,Male,38.16,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Austria,2023,Female,31.05,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Austria,2022,Male,38.41,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Austria,2022,Female,30.93,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Austria,2021,Male,38.57,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Austria,2021,Female,30.98,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
